populacao,ano,sigla_uf,id_municipio
5008,2020,TO,170330
5120,2021,TO,170330
2211,2020,TO,170360
2221,2021,TO,170360
5519,2020,TO,170370
5540,2021,TO,170370
11497,2020,TO,170380
11644,2021,TO,170380
2284,2020,TO,170382
2293,2021,TO,170382
10312,2020,TO,170384
10505,2021,TO,170384
4441,2020,TO,170386
4499,2021,TO,170386
2603,2020,TO,170388
2627,2021,TO,170388
4130,2020,TO,170389
4165,2021,TO,170389
5442,2020,TO,170390
5514,2021,TO,170390
2936,2020,TO,170410
2966,2021,TO,170410
1410,2020,TO,170460
1415,2021,TO,170460
3331,2020,TO,170510
3330,2021,TO,170510
35851,2020,TO,170550
36271,2021,TO,170550
4861,2020,TO,170555
4870,2021,TO,170555
4087,2020,TO,170560
4070,2021,TO,170560
5639,2020,TO,170600
5690,2021,TO,170600
7278,2020,TO,170610
7268,2021,TO,170610
1735,2020,TO,170625
1749,2021,TO,170625
6174,2020,TO,170650
6250,2021,TO,170650
22424,2020,TO,170700
22704,2021,TO,170700
6943,2020,TO,170710
6986,2021,TO,170710
7185,2020,TO,170720
7173,2021,TO,170720
4686,2020,TO,170730
4686,2021,TO,170730
11139,2020,TO,170740
11280,2021,TO,170740
3830,2020,TO,170755
3824,2021,TO,170755
5243,2020,TO,170765
5222,2021,TO,170765
8874,2020,TO,170770
8892,2021,TO,170770
18399,2020,TO,170820
18358,2021,TO,170820
2602,2020,TO,170825
2615,2021,TO,170825
5130,2020,TO,170830
5136,2021,TO,170830
13095,2020,TO,170900
13169,2021,TO,170900
26165,2020,TO,170930
26403,2021,TO,170930
87545,2020,TO,170950
88428,2021,TO,170950
2052,2020,TO,170980
2088,2021,TO,170980
7452,2020,TO,171050
7471,2021,TO,171050
5832,2020,TO,171070
5801,2021,TO,171070
3795,2020,TO,171090
3814,2021,TO,171090
2420,2020,TO,171110
2412,2021,TO,171110
3878,2020,TO,171150
3906,2021,TO,171150
2184,2020,TO,171180
2174,2021,TO,171180
13676,2020,TO,171190
13989,2021,TO,171190
4393,2020,TO,171195
4470,2021,TO,171195
3167,2020,TO,171200
3199,2021,TO,171200
1954,2020,TO,171215
1984,2021,TO,171215
3733,2020,TO,171240
3727,2021,TO,171240
3154,2020,TO,171245
3200,2021,TO,171245
5254,2020,TO,171250
5332,2021,TO,171250
2729,2020,TO,171270
2773,2021,TO,171270
3448,2020,TO,171280
3470,2021,TO,171280
17936,2020,TO,171320
17628,2021,TO,171320
13493,2020,TO,171330
13551,2021,TO,171330
8066,2020,TO,171360
8182,2021,TO,171360
2295,2020,TO,171370
2311,2021,TO,171370
6745,2020,TO,171380
6830,2021,TO,171380
3587,2020,TO,171395
3623,2021,TO,171395
9250,2020,TO,171420
9256,2021,TO,171420
3834,2020,TO,171430
3772,2021,TO,171430
11917,2020,TO,171488
12014,2021,TO,171488
4304,2020,TO,171500
4348,2021,TO,171500
4397,2020,TO,171510
4450,2021,TO,171510
2332,2020,TO,171515
2332,2021,TO,171515
2745,2020,TO,171525
2768,2021,TO,171525
1118,2020,TO,171550
1124,2021,TO,171550
6131,2020,TO,171570
6234,2021,TO,171570
7676,2020,TO,171575
7694,2021,TO,171575
51891,2020,TO,171610
52521,2021,TO,171610
10437,2020,TO,171620
10426,2021,TO,171620
